ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
916,2025-02-10 13:13:07.715994877,2025-02-10 13:16:37.921057442,AAL,master,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Professional communication with external partners,Clarification of individual professional competences,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Psychological safety in team work,,,,,,,,,,,,,2,,,,,1,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,2025-02-06 13:10:05.669577916,2025-02-06 13:14:22.266349265,AAL,master,Professional identity development,Creativity and entrepeneurship,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Digital and hybrid practices in collaborative work,Leadership and project management,Psychological safety in team work,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,2025-02-08 10:26:53.842282191,2025-02-08 10:30:52.569269092,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Ethical technology assessment,Psychological safety in team work,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Leadership and project management,Professional identity development,,,,,,,,,,,,,1,,3,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,2025-02-11 09:34:04.808139803,2025-02-11 09:37:40.711748564,AAL,master,Psychological safety in team work,Professional communication with external partners,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Digital and hybrid practices in collaborative work,Ethical technology assessment,Creativity and entrepeneurship,,,,,,,,,,,,,,3,,1,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,2025-02-12 19:45:46.336324277,2025-02-12 19:47:36.615426843,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Clarification of individual professional competences,Leadership and project management,Professional communication with external partners,Professional identity development,Ethical technology assessment,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,2025-02-11 21:25:35.891670017,2025-02-11 21:26:59.639172570,AAL,master,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional identity development,Leadership and project management,,,,,,,,,,,,,2,,1,,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,2025-02-13 11:31:39.188924042,2025-02-13 11:35:00.116791938,AAL,master,Digital and hybrid practices in collaborative work,Professional identity development,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Ethical technology assessment,Leadership and project management,Clarification of individual professional competences,,,,,,,,,,,,,,,,,3,,1,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,2025-02-11 09:05:26.583211167,2025-02-11 09:09:24.570955251,AAL,master,Leadership and project management,Digital and hybrid practices in collaborative work,Psychological safety in team work,Clarification of individual professional competences,Professional communication with external partners,Creativity and entrepeneurship,Ethical technology assessment,Professional identity development,,,,,,,,,,,,,,,,3,,1,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,2025-02-12 14:05:57.835108948,2025-02-12 14:14:18.585024307,AAL,master,Professional communication with external partners,Leadership and project management,Psychological safety in team work,Digital and hybrid practices in collaborative work,Professional identity development,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,2025-02-10 12:54:10.260253856,2025-02-10 12:55:41.556641099,AAL,master,Creativity and entrepeneurship,Ethical technology assessment,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Psychological safety in team work,Professional identity development,Clarification of individual professional competences,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,2025-02-12 12:00:06.930395745,2025-02-12 12:09:54.284401650,AAL,master,Clarification of individual professional competences,Creativity and entrepeneurship,Professional communication with external partners,Professional identity development,Ethical technology assessment,Psychological safety in team work,Digital and hybrid practices in collaborative work,Leadership and project management,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,2025-02-11 10:00:23.090351648,2025-02-11 10:12:20.878361823,AAL,master,Professional identity development,Psychological safety in team work,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Leadership and project management,Professional communication with external partners,,,,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,2025-02-10 16:50:42.718121608,2025-02-10 16:52:59.868655782,AAL,master,Creativity and entrepeneurship,Leadership and project management,Clarification of individual professional competences,Ethical technology assessment,Professional identity development,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,2025-02-06 12:35:14.934903556,2025-02-06 12:38:15.181753346,AAL,master,Professional identity development,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional communication with external partners,Psychological safety in team work,Leadership and project management,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,2025-02-10 22:46:09.417543743,2025-02-10 22:48:51.453402350,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,Professional communication with external partners,Clarification of individual professional competences,Leadership and project management,Ethical technology assessment,Professional identity development,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,2025-02-11 15:49:13.533455259,2025-02-11 16:00:56.031161510,AAL,master,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Psychological safety in team work,Leadership and project management,Professional identity development,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,,,,,,,,,,,,,,2,,3,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,2025-02-10 08:36:24.308624613,2025-02-10 08:42:30.068008393,AAL,master,Psychological safety in team work,Creativity and entrepeneurship,Professional identity development,Ethical technology assessment,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,1,,,,3,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,2025-02-14 07:51:05.799172661,2025-02-14 07:54:29.732588262,AAL,master,Professional identity development,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional communication with external partners,Leadership and project management,Ethical technology assessment,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,3,,,,,2,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,2025-02-06 12:39:23.414851520,2025-02-06 12:43:55.549507494,AAL,master,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Digital and hybrid practices in collaborative work,Professional communication with external partners,Creativity and entrepeneurship,Ethical technology assessment,Clarification of individual professional competences,,,,,,,,,,,,,2,,,,,1,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,2025-02-12 11:05:28.083964719,2025-02-12 11:12:36.904500195,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Psychological safety in team work,Ethical technology assessment,Professional communication with external partners,Creativity and entrepeneurship,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,1,,,3,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,2025-02-10 13:13:51.173772812,2025-02-10 13:15:34.747053551,AAL,master,Professional identity development,Professional communication with external partners,Ethical technology assessment,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Creativity and entrepeneurship,,,,,,,,,,,,,,,3,,2,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,2025-02-05 11:16:22.924406394,2025-02-05 11:18:44.704002826,AAL,master,Professional communication with external partners,Professional identity development,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Leadership and project management,Digital and hybrid practices in collaborative work,Psychological safety in team work,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,2025-02-12 10:59:10.750190717,2025-02-12 11:11:30.847626167,AAL,master,Professional communication with external partners,Professional identity development,Creativity and entrepeneurship,Psychological safety in team work,Digital and hybrid practices in collaborative work,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,2025-02-12 13:54:58.299269908,2025-02-14 01:17:33.515370949,AAL,master,Clarification of individual professional competences,Creativity and entrepeneurship,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Psychological safety in team work,Professional identity development,Ethical technology assessment,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,2025-02-07 09:31:00.813555584,2025-02-07 09:32:47.625546758,AAL,master,Professional identity development,Digital and hybrid practices in collaborative work,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Professional communication with external partners,Psychological safety in team work,Creativity and entrepeneurship,,,,,,,,,,,,,,,3,,,,2,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,2025-02-10 09:14:28.569310345,2025-02-10 09:21:02.451795252,AAL,master,Digital and hybrid practices in collaborative work,Ethical technology assessment,Clarification of individual professional competences,Psychological safety in team work,Professional identity development,Leadership and project management,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,3,2,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,2025-02-11 11:18:00.375786824,2025-02-11 11:21:06.046170131,AAL,master,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Ethical technology assessment,Professional communication with external partners,Psychological safety in team work,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,2025-02-05 14:02:12.571241394,2025-02-05 14:08:15.597699597,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Ethical technology assessment,Professional communication with external partners,Digital and hybrid practices in collaborative work,Leadership and project management,Professional identity development,Clarification of individual professional competences,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,2025-02-11 10:25:41.359875409,2025-02-11 23:49:19.762194221,AAL,master,Professional communication with external partners,Clarification of individual professional competences,Leadership and project management,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,Ethical technology assessment,,,,,,,,,,,,,,2,,,1,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,2025-02-07 11:29:02.386159273,2025-02-07 11:30:56.456947979,AAL,master,Leadership and project management,Clarification of individual professional competences,Professional identity development,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Digital and hybrid practices in collaborative work,Psychological safety in team work,,,,,,,,,,,,,,2,,,,1,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,2025-02-07 10:39:14.323130143,2025-02-07 10:42:40.983717617,AAL,master,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Professional identity development,Creativity and entrepeneurship,Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,,,,,,,,,,,,,2,,,,1,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,2025-02-13 08:23:51.489100688,2025-02-13 08:25:25.336415675,AAL,master,Leadership and project management,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Professional communication with external partners,Professional identity development,Ethical technology assessment,,,,,,,,,,,,,3,,,2,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,2025-02-11 10:37:05.411860107,2025-02-11 10:40:25.799058139,AAL,master,Leadership and project management,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Psychological safety in team work,,,,,,,,,,,,,3,,2,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,2025-02-13 13:09:28.790870366,2025-02-13 13:11:32.348863617,AAL,master,Leadership and project management,Psychological safety in team work,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Creativity and entrepeneurship,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,,,2,3,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,2025-02-12 14:50:55.917691766,2025-02-12 14:58:15.301170090,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Ethical technology assessment,Leadership and project management,Professional communication with external partners,Psychological safety in team work,,,,,,,,,,,,,1,2,,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,2025-02-11 13:24:13.802616685,2025-02-11 13:35:04.230597352,AAL,master,Professional identity development,Clarification of individual professional competences,Psychological safety in team work,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Ethical technology assessment,Creativity and entrepeneurship,,,,,,,,,,,,,,2,,3,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,2025-02-11 11:45:33.584137721,2025-02-11 11:49:54.386777552,AAL,master,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,2025-02-09 16:46:29.030921148,2025-02-09 16:52:44.449620859,AAL,master,Creativity and entrepeneurship,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional identity development,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Professional communication with external partners,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,2025-02-12 10:37:08.045504884,2025-02-12 10:41:29.278820238,AAL,master,Psychological safety in team work,Professional communication with external partners,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Professional identity development,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,2025-02-13 09:53:41.947407860,2025-02-13 09:59:57.003362675,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Clarification of individual professional competences,Creativity and entrepeneurship,Psychological safety in team work,Professional identity development,Ethical technology assessment,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,1,3,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,2025-02-07 20:44:35.983681278,2025-02-07 20:45:22.149107385,AAL,master,Professional communication with external partners,Professional identity development,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Leadership and project management,Psychological safety in team work,Creativity and entrepeneurship,,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,2025-02-10 21:09:44.366328632,2025-02-10 21:13:22.542849891,AAL,master,Ethical technology assessment,Professional communication with external partners,Clarification of individual professional competences,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,,,,,,,,,,,,,,3,1,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,2025-02-13 13:29:29.326316605,2025-02-13 13:30:22.191150652,AAL,master,Professional communication with external partners,Professional identity development,Digital and hybrid practices in collaborative work,Ethical technology assessment,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Clarification of individual professional competences,,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,2025-02-12 22:47:46.611700929,2025-02-12 22:49:09.860982486,AAL,master,Ethical technology assessment,Professional communication with external partners,Psychological safety in team work,Clarification of individual professional competences,Leadership and project management,Professional identity development,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,2025-02-13 12:35:43.880671755,2025-02-13 12:42:34.099259056,AAL,master,Psychological safety in team work,Leadership and project management,Ethical technology assessment,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional communication with external partners,Professional identity development,Creativity and entrepeneurship,,,,,,,,,,,,,,,3,1,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,2025-02-12 10:12:27.154616118,2025-02-12 10:18:05.198891759,AAL,master,Digital and hybrid practices in collaborative work,Professional identity development,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Creativity and entrepeneurship,,,,,,,,,,,,,,3,,,,,1,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,2025-02-06 20:24:55.832268351,2025-02-06 20:28:12.925256338,AAL,master,Professional communication with external partners,Leadership and project management,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Professional identity development,Psychological safety in team work,Clarification of individual professional competences,,,,,,,,,,,,,,,3,,1,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,2025-02-09 17:01:59.836389706,2025-02-09 17:07:42.891001560,AAL,master,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Creativity and entrepeneurship,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Professional identity development,Psychological safety in team work,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,2025-02-11 10:39:41.617809264,2025-02-11 10:50:19.746628514,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional communication with external partners,Leadership and project management,Creativity and entrepeneurship,Ethical technology assessment,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,2025-02-09 10:13:16.001425487,2025-02-09 10:16:21.252790330,AAL,master,Professional communication with external partners,Creativity and entrepeneurship,Ethical technology assessment,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Leadership and project management,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,3,,1,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,2025-02-12 10:41:59.815259076,2025-02-13 06:36:51.268286399,AAL,master,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Professional communication with external partners,Clarification of individual professional competences,Creativity and entrepeneurship,Ethical technology assessment,Leadership and project management,,,,,,,,,,,,,2,,,1,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,2025-02-11 17:18:20.708565364,2025-02-11 17:20:36.049167956,AAL,master,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional identity development,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Professional communication with external partners,Creativity and entrepeneurship,,,,,,,,,,,,,2,,,3,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,2025-02-08 13:38:26.822241230,2025-02-08 13:40:05.787234163,AAL,master,Psychological safety in team work,Digital and hybrid practices in collaborative work,Professional identity development,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Leadership and project management,Creativity and entrepeneurship,,,,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,2025-02-12 11:58:33.188785615,2025-02-12 11:59:54.412725998,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional communication with external partners,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Ethical technology assessment,Clarification of individual professional competences,Professional identity development,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,2025-02-06 09:41:26.359211180,2025-02-06 09:45:20.242466977,AAL,master,Professional communication with external partners,Psychological safety in team work,Leadership and project management,Professional identity development,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,2025-02-10 22:56:35.554905602,2025-02-10 23:04:41.134359578,AAL,master,Digital and hybrid practices in collaborative work,Professional identity development,Creativity and entrepeneurship,Clarification of individual professional competences,Leadership and project management,Professional communication with external partners,Ethical technology assessment,Psychological safety in team work,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,2025-02-13 11:23:44.410861174,2025-02-13 11:27:05.472607163,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional identity development,Digital and hybrid practices in collaborative work,Professional communication with external partners,Clarification of individual professional competences,Ethical technology assessment,Leadership and project management,,,,,,,,,,,,,1,,,2,,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,2025-02-10 14:27:18.606229524,2025-02-10 14:28:51.493588865,AAL,master,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Professional identity development,Ethical technology assessment,Clarification of individual professional competences,Leadership and project management,Psychological safety in team work,Professional communication with external partners,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
